# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Wed Oct  6 00:07:21 2021
#
# User ID:         roan.gijsen
#
# User preference: *
#
# COLUMN pl_name:        Planet Name
# COLUMN hostname:       Host Name
# COLUMN sy_snum:        Number of Stars
# COLUMN sy_pnum:        Number of Planets
# COLUMN st_rad:         Stellar Radius [Solar Radius]
# COLUMN st_raderr1:     Stellar Radius Upper Unc. [Solar Radius]
# COLUMN st_raderr2:     Stellar Radius Lower Unc. [Solar Radius]
# COLUMN st_radlim:      Stellar Radius Limit Flag
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_masserr1:    Stellar Mass Upper Unc. [Solar mass]
# COLUMN st_masserr2:    Stellar Mass Lower Unc. [Solar mass]
# COLUMN st_masslim:     Stellar Mass Limit Flag
#
pl_name,hostname,sy_snum,sy_pnum,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim
55 Cnc b,55 Cnc,2,5,0.96,0.08,-0.05,0,0.90,0.14,-0.09,0
55 Cnc b,55 Cnc,2,5,,,,,,,,
55 Cnc b,55 Cnc,2,5,,,,,,,,
55 Cnc b,55 Cnc,2,5,0.94,0.01,-0.01,0,0.91,0.01,-0.01,0
55 Cnc b,55 Cnc,2,5,,,,,0.85,,,0
55 Cnc b,55 Cnc,2,5,0.96,0.08,-0.05,0,0.90,0.14,-0.09,0
55 Cnc b,55 Cnc,2,5,0.96,0.08,-0.05,0,0.90,0.14,-0.09,0
55 Cnc b,55 Cnc,2,5,,,,,0.95,,,0
55 Cnc b,55 Cnc,2,5,0.96,0.08,-0.05,0,0.90,0.14,-0.09,0
55 Cnc b,55 Cnc,2,5,0.96,0.02,-0.02,0,0.97,0.05,-0.05,0
55 Cnc b,55 Cnc,2,5,,,,,0.95,0.08,-0.08,0
55 Cnc b,55 Cnc,2,5,,,,,0.95,,,0
55 Cnc c,55 Cnc,2,5,,,,,0.95,,,0
55 Cnc c,55 Cnc,2,5,0.96,0.08,-0.05,0,0.90,0.14,-0.09,0
55 Cnc c,55 Cnc,2,5,0.94,0.01,-0.01,0,0.91,0.01,-0.01,0
55 Cnc c,55 Cnc,2,5,0.96,0.08,-0.05,0,0.90,0.14,-0.09,0
55 Cnc c,55 Cnc,2,5,0.96,0.08,-0.05,0,0.90,0.14,-0.09,0
55 Cnc c,55 Cnc,2,5,,,,,0.95,0.08,-0.08,0
55 Cnc c,55 Cnc,2,5,0.96,0.02,-0.02,0,0.97,0.05,-0.05,0
55 Cnc c,55 Cnc,2,5,0.96,0.08,-0.05,0,0.90,0.14,-0.09,0
55 Cnc d,55 Cnc,2,5,0.94,0.01,-0.01,0,0.91,0.01,-0.01,0
55 Cnc d,55 Cnc,2,5,0.96,0.02,-0.02,0,0.97,0.05,-0.05,0
55 Cnc d,55 Cnc,2,5,0.96,0.08,-0.05,0,0.90,0.14,-0.09,0
55 Cnc d,55 Cnc,2,5,,,,,,,,
55 Cnc d,55 Cnc,2,5,0.96,0.08,-0.05,0,0.90,0.14,-0.09,0
55 Cnc d,55 Cnc,2,5,0.96,0.08,-0.05,0,0.90,0.14,-0.09,0
55 Cnc d,55 Cnc,2,5,,,,,0.95,,,0
55 Cnc d,55 Cnc,2,5,0.96,0.08,-0.05,0,0.90,0.14,-0.09,0
55 Cnc d,55 Cnc,2,5,,,,,0.95,,,0
55 Cnc d,55 Cnc,2,5,,,,,0.95,0.08,-0.08,0
55 Cnc e,55 Cnc,2,5,0.96,0.08,-0.05,0,0.90,0.14,-0.09,0
55 Cnc e,55 Cnc,2,5,0.96,0.08,-0.05,0,0.90,0.14,-0.09,0
55 Cnc e,55 Cnc,2,5,0.96,0.08,-0.05,0,0.90,0.14,-0.09,0
55 Cnc e,55 Cnc,2,5,0.94,0.01,-0.01,0,0.91,0.01,-0.01,0
55 Cnc e,55 Cnc,2,5,0.96,0.08,-0.05,0,0.90,0.14,-0.09,0
55 Cnc e,55 Cnc,2,5,0.96,0.08,-0.05,0,0.90,0.14,-0.09,0
55 Cnc e,55 Cnc,2,5,,,,,,,,
55 Cnc e,55 Cnc,2,5,,,,,0.95,,,0
55 Cnc e,55 Cnc,2,5,,,,,0.95,0.08,-0.08,0
55 Cnc e,55 Cnc,2,5,0.96,0.02,-0.02,0,0.97,0.05,-0.05,0
55 Cnc e,55 Cnc,2,5,0.96,0.08,-0.05,0,0.90,0.14,-0.09,0
55 Cnc e,55 Cnc,2,5,0.94,0.01,-0.01,0,0.91,0.01,-0.01,0
55 Cnc e,55 Cnc,2,5,0.95,0.02,-0.02,0,0.87,0.05,-0.04,0
55 Cnc e,55 Cnc,2,5,0.94,0.01,-0.01,0,0.96,0.05,-0.03,0
55 Cnc f,55 Cnc,2,5,,,,,0.95,,,0
55 Cnc f,55 Cnc,2,5,0.96,0.08,-0.05,0,0.90,0.14,-0.09,0
55 Cnc f,55 Cnc,2,5,0.96,0.08,-0.05,0,0.90,0.14,-0.09,0
55 Cnc f,55 Cnc,2,5,0.96,0.02,-0.02,0,0.97,0.05,-0.05,0
55 Cnc f,55 Cnc,2,5,0.94,0.01,-0.01,0,0.91,0.01,-0.01,0
55 Cnc f,55 Cnc,2,5,0.96,0.08,-0.05,0,0.90,0.14,-0.09,0
55 Cnc f,55 Cnc,2,5,0.96,0.08,-0.05,0,0.90,0.14,-0.09,0
6 Lyn b,6 Lyn,1,1,5.20,,,0,1.44,,,0
6 Lyn b,6 Lyn,1,1,5.20,0.40,-0.30,0,1.82,0.13,-0.13,0
6 Lyn b,6 Lyn,1,1,5.20,0.40,-0.30,0,1.70,0.10,-0.20,0
61 Vir b,61 Vir,1,3,1.03,0.02,-0.02,0,0.91,0.04,-0.04,0
61 Vir b,61 Vir,1,3,0.96,0.01,-0.01,0,0.94,0.03,-0.03,0
61 Vir c,61 Vir,1,3,0.96,0.01,-0.01,0,0.94,0.03,-0.03,0
61 Vir c,61 Vir,1,3,1.03,0.02,-0.02,0,0.91,0.04,-0.04,0
61 Vir d,61 Vir,1,3,0.96,0.01,-0.01,0,0.94,0.03,-0.03,0
7 CMa b,7 CMa,1,2,4.91,,,0,,,,
7 CMa b,7 CMa,1,2,4.87,0.17,-0.14,0,1.34,0.11,-0.12,0
7 CMa b,7 CMa,1,2,2.30,0.10,-0.10,0,1.52,0.30,-0.30,0
7 CMa c,7 CMa,1,2,4.87,0.17,-0.14,0,1.34,0.11,-0.12,0
70 Vir b,70 Vir,1,1,1.89,,,0,1.09,,,0
70 Vir b,70 Vir,1,1,1.84,0.03,-0.03,0,1.14,0.08,-0.08,0
70 Vir b,70 Vir,1,1,1.94,0.05,-0.05,0,1.09,0.02,-0.02,0
70 Vir b,70 Vir,1,1,,,,,,,,
70 Vir b,70 Vir,1,1,,,,,1.11,,,0
70 Vir b,70 Vir,1,1,1.92,0.05,-0.05,0,1.06,0.03,-0.03,0
75 Cet b,75 Cet,2,1,10.50,1.00,-1.00,0,2.49,0.02,-0.27,0
8 UMi b,8 UMi,1,1,9.90,0.40,-0.40,0,1.80,0.10,-0.10,0
8 UMi b,8 UMi,1,1,10.30,0.57,-0.57,0,1.44,0.19,-0.19,0
81 Cet b,81 Cet,1,1,,,,,1.60,0.40,-0.20,0
81 Cet b,81 Cet,1,1,11.00,2.00,-1.00,0,2.40,0.10,-0.40,0
91 Aqr b,91 Aqr,3,1,11.00,0.10,-0.10,0,1.40,0.10,-0.10,0
AB Pic b,AB Pic,1,1,,,,,,,,
AU Mic b,AU Mic,1,2,0.75,0.03,-0.03,0,0.50,0.03,-0.03,0
AU Mic b,AU Mic,1,2,0.75,0.03,-0.03,0,0.50,0.03,-0.03,0
AU Mic c,AU Mic,1,2,0.75,0.03,-0.03,0,0.50,0.03,-0.03,0
BD+03 2562 b,BD+03 2562,1,1,32.35,8.82,-8.82,0,1.14,0.25,-0.25,0
BD+14 4559 b,BD+14 4559,1,1,0.95,0.20,-0.20,0,0.86,0.15,-0.15,0
BD+14 4559 b,BD+14 4559,1,1,0.86,0.04,-0.04,0,0.49,0.33,-0.33,0
BD+15 2375 b,BD+15 2375,1,1,8.95,1.45,-1.45,0,1.08,0.14,-0.14,0
BD+15 2940 b,BD+15 2940,1,1,14.70,2.80,-2.80,0,1.10,0.20,-0.20,0
BD+20 2457 b,BD+20 2457,1,2,49.00,26.00,-26.00,0,2.80,1.50,-1.50,0
BD+20 2457 b,BD+20 2457,1,2,71.02,73.63,-73.63,0,10.83,22.96,-22.96,0
BD+20 2457 c,BD+20 2457,1,2,49.00,26.00,-26.00,0,2.80,1.50,-1.50,0
BD+20 274 b,BD+20 274,1,1,17.30,0.90,-0.90,0,0.80,0.20,-0.20,0
BD+20 594 b,BD+20 594,1,1,0.93,0.06,-0.04,0,0.96,0.03,-0.03,0
BD+20 594 b,BD+20 594,1,1,0.96,0.10,-0.05,0,0.96,0.03,-0.03,0
BD+20 594 b,BD+20 594,1,1,0.96,0.10,-0.05,0,,,,
BD+20 594 b,BD+20 594,1,1,1.08,0.06,-0.06,0,1.67,0.40,-0.40,0
BD+45 564 b,BD+45 564,1,1,,,,,0.81,0.07,-0.07,0
BD+48 738 b,BD+48 738,1,1,11.00,1.00,-1.00,0,0.74,0.39,-0.39,0
BD+48 740 b,BD+48 740,1,1,10.33,1.81,-1.81,0,1.09,0.16,-0.16,0
BD+49 828 b,BD+49 828,1,1,7.60,1.30,-1.30,0,1.52,0.22,-0.22,0
BD+55 362 b,BD+55 362,1,1,,,,,0.91,0.10,-0.10,0
BD+63 1405 b,BD+63 1405,1,1,,,,,0.82,0.08,-0.08,0
BD-00 4475 b,BD-00 4475,1,1,,,,,0.81,0.10,-0.10,0
BD-06 1339 b,BD-06 1339,1,2,,,,,0.70,,,0
BD-06 1339 c,BD-06 1339,1,2,,,,,0.70,,,0
BD-08 2823 b,BD-08 2823,1,2,,,,,0.74,0.07,-0.07,0
BD-08 2823 b,BD-08 2823,1,2,0.71,0.04,-0.04,0,0.50,0.26,-0.26,0
BD-08 2823 c,BD-08 2823,1,2,,,,,0.74,0.07,-0.07,0
BD-10 3166 b,BD-10 3166,1,1,,,,,1.10,0.10,-0.10,0
BD-10 3166 b,BD-10 3166,1,1,0.91,0.04,-0.04,0,1.47,0.24,-0.24,0
BD-10 3166 b,BD-10 3166,1,1,,,,,1.01,,,0
BD-10 3166 b,BD-10 3166,1,1,0.97,0.02,-0.02,0,1.00,0.04,-0.04,0
BD-11 4672 b,BD-11 4672,1,2,0.64,0.02,-0.02,0,0.65,0.03,-0.03,0
BD-11 4672 b,BD-11 4672,1,2,0.52,0.02,-0.02,0,0.57,0.01,-0.01,0
BD-11 4672 c,BD-11 4672,1,2,0.64,0.02,-0.02,0,0.65,0.03,-0.03,0
BD-13 2130 b,BD-13 2130,1,1,19.17,4.96,-4.96,0,2.12,1.47,-1.47,0
BD-13 2130 b,BD-13 2130,1,1,,,,,2.40,0.20,-0.20,0
BD-17 63 b,BD-17 63,1,1,0.69,,,0,0.74,0.03,-0.03,0
BD-17 63 b,BD-17 63,1,1,0.74,0.04,-0.04,0,0.31,0.19,-0.19,0
CFBDSIR J145829+101343 b,CFBDSIR J145829+101343,1,1,,,,,0.02,0.01,-0.01,0
CFHTWIR-Oph 98 b,CFHTWIR-Oph 98 A,1,1,0.24,0.01,-0.01,0,0.01,0.00,0.00,0
CHXR 73 b,CHXR 73,1,1,,,,,0.35,,,0
CI Tau b,CI Tau,1,1,,,,,0.90,0.02,-0.02,0
COCONUTS-2 b,COCONUTS-2 A,1,1,0.39,0.01,-0.01,0,0.37,0.02,-0.02,0
CT Cha b,CT Cha,1,1,,,,,,,,
CoRoT-1 b,CoRoT-1,1,1,,,,,,,,
CoRoT-1 b,CoRoT-1,1,1,1.14,0.03,-0.03,0,1.03,0.06,-0.06,0
CoRoT-1 b,CoRoT-1,1,1,1.13,0.05,-0.05,0,0.95,0.11,-0.11,0
CoRoT-1 b,CoRoT-1,1,1,1.11,0.05,-0.05,0,0.95,0.15,-0.15,0
CoRoT-1 b,CoRoT-1,1,1,1.23,0.02,-0.02,0,1.22,0.03,-0.03,0
CoRoT-10 b,CoRoT-10,1,1,0.79,0.05,-0.05,0,0.89,0.05,-0.05,0
CoRoT-10 b,CoRoT-10,1,1,0.79,0.05,-0.05,0,0.89,0.05,-0.05,0
CoRoT-10 b,CoRoT-10,1,1,0.74,0.06,-0.06,0,0.90,0.04,-0.04,0
CoRoT-11 b,CoRoT-11,1,1,1.37,0.06,-0.06,0,1.26,0.14,-0.14,0
CoRoT-11 b,CoRoT-11,1,1,1.37,0.03,-0.03,0,1.27,0.05,-0.05,0
CoRoT-11 b,CoRoT-11,1,1,1.33,0.04,-0.04,0,1.23,0.03,-0.03,0
CoRoT-11 b,CoRoT-11,1,1,1.37,0.03,-0.03,0,1.27,0.05,-0.05,0
CoRoT-11 b,CoRoT-11,1,1,1.36,0.13,-0.13,0,1.56,0.10,-0.10,0
CoRoT-12 b,CoRoT-12,1,1,1.05,0.05,-0.05,0,1.00,0.10,-0.10,0
CoRoT-12 b,CoRoT-12,1,1,1.05,0.04,-0.04,0,1.02,0.09,-0.09,0
CoRoT-12 b,CoRoT-12,1,1,1.12,0.10,-0.09,0,1.08,0.08,-0.07,0
CoRoT-12 b,CoRoT-12,1,1,1.12,0.10,-0.09,0,1.08,0.08,-0.07,0
CoRoT-13 b,CoRoT-13,1,1,1.27,0.08,-0.08,0,1.09,0.09,-0.09,0
CoRoT-13 b,CoRoT-13,1,1,1.01,0.03,-0.03,0,1.09,0.02,-0.02,0
CoRoT-13 b,CoRoT-13,1,1,1.01,0.03,-0.03,0,1.09,0.02,-0.02,0
CoRoT-14 b,CoRoT-14,1,1,1.19,0.14,-0.14,0,1.12,0.10,-0.10,0
CoRoT-14 b,CoRoT-14,1,1,1.21,0.08,-0.08,0,1.13,0.09,-0.09,0
CoRoT-14 b,CoRoT-14,1,1,1.21,0.08,-0.08,0,1.13,0.09,-0.09,0
CoRoT-16 b,CoRoT-16,1,1,1.19,0.14,-0.13,0,1.10,0.08,-0.08,0
CoRoT-16 b,CoRoT-16,1,1,1.19,0.14,-0.13,0,1.10,0.08,-0.08,0
CoRoT-17 b,CoRoT-17,1,1,1.62,0.47,-0.13,0,1.04,0.07,-0.05,0
CoRoT-17 b,CoRoT-17,1,1,1.59,0.07,-0.07,0,1.04,0.10,-0.10,0
CoRoT-17 b,CoRoT-17,1,1,1.59,0.07,-0.07,0,1.04,0.10,-0.10,0
CoRoT-18 b,CoRoT-18,1,1,1.00,0.13,-0.13,0,0.95,0.15,-0.15,0
CoRoT-18 b,CoRoT-18,1,1,1.00,0.13,-0.13,0,0.95,0.15,-0.15,0
CoRoT-18 b,CoRoT-18,1,1,0.92,0.06,-0.06,0,0.86,0.06,-0.06,0
CoRoT-18 b,CoRoT-18,1,1,0.88,0.03,-0.03,0,0.88,0.07,-0.07,0
CoRoT-19 b,CoRoT-19,1,1,1.65,0.04,-0.04,0,1.21,0.05,-0.05,0
CoRoT-19 b,CoRoT-19,1,1,1.65,0.04,-0.04,0,1.21,0.05,-0.05,0
CoRoT-19 b,CoRoT-19,1,1,1.58,0.35,-0.10,0,1.18,0.13,-0.08,0
CoRoT-2 b,CoRoT-2,2,1,0.90,0.02,-0.02,0,0.97,0.06,-0.06,0
CoRoT-2 b,CoRoT-2,2,1,0.90,0.02,-0.02,0,0.97,0.06,-0.06,0
CoRoT-2 b,CoRoT-2,2,1,0.91,0.02,-0.02,0,1.02,0.05,-0.05,0
CoRoT-2 b,CoRoT-2,2,1,0.94,0.07,-0.12,0,0.97,0.14,-0.10,0
CoRoT-2 b,CoRoT-2,2,1,,,,,,,,
CoRoT-2 b,CoRoT-2,2,1,0.91,0.03,-0.03,0,0.96,0.08,-0.08,0
CoRoT-2 b,CoRoT-2,2,1,0.90,0.02,-0.02,0,1.00,0.05,-0.05,0
CoRoT-2 b,CoRoT-2,2,1,,,,,,,,
CoRoT-20 b,CoRoT-20,1,2,,,,,1.14,0.08,-0.08,0
CoRoT-20 b,CoRoT-20,1,2,1.02,0.05,-0.05,0,1.14,0.08,-0.08,0
CoRoT-20 b,CoRoT-20,1,2,1.02,0.05,-0.05,0,1.14,0.08,-0.08,0
CoRoT-20 b,CoRoT-20,1,2,1.16,0.15,-0.20,0,1.10,0.10,-0.10,0
CoRoT-20 b,CoRoT-20,1,2,1.34,0.37,-0.37,0,1.11,0.10,-0.10,0
CoRoT-20 c,CoRoT-20,1,2,,,,,1.14,0.08,-0.08,0
CoRoT-21 b,CoRoT-21,1,1,1.95,0.21,-0.21,0,1.29,0.09,-0.09,0
CoRoT-21 b,CoRoT-21,1,1,1.95,0.21,-0.21,0,1.29,0.09,-0.09,0
CoRoT-22 b,CoRoT-22,1,1,1.14,0.04,-0.09,0,1.10,0.05,-0.05,0
CoRoT-23 b,CoRoT-23,1,1,1.61,0.18,-0.18,0,1.14,0.08,-0.08,0
CoRoT-23 b,CoRoT-23,1,1,1.61,0.18,-0.18,0,1.14,0.08,-0.08,0
CoRoT-23 b,CoRoT-23,1,1,1.74,0.26,-0.16,0,1.12,0.09,-0.07,0
CoRoT-24 b,CoRoT-24,1,2,0.86,0.09,-0.09,0,0.91,0.09,-0.09,0
CoRoT-24 c,CoRoT-24,1,2,0.86,0.09,-0.09,0,0.91,0.09,-0.09,0
CoRoT-25 b,CoRoT-25,1,1,1.19,0.14,-0.03,0,1.09,0.11,-0.05,0
CoRoT-25 b,CoRoT-25,1,1,1.19,0.14,-0.03,0,1.09,0.11,-0.05,0
CoRoT-26 b,CoRoT-26,1,1,1.79,0.18,-0.09,0,1.09,0.06,-0.06,0
CoRoT-26 b,CoRoT-26,1,1,1.79,0.18,-0.09,0,1.09,0.06,-0.06,0
CoRoT-27 b,CoRoT-27,1,1,1.08,0.18,-0.06,0,1.05,0.11,-0.11,0
CoRoT-27 b,CoRoT-27,1,1,1.08,0.18,-0.06,0,1.05,0.11,-0.11,0
CoRoT-28 b,CoRoT-28,1,1,1.78,0.11,-0.11,0,1.01,0.14,-0.14,0
CoRoT-28 b,CoRoT-28,1,1,1.78,0.11,-0.11,0,1.01,0.14,-0.14,0
CoRoT-29 b,CoRoT-29,1,1,0.90,0.12,-0.12,0,0.97,0.14,-0.14,0
CoRoT-29 b,CoRoT-29,1,1,1.08,,,0,0.90,,,0
CoRoT-29 b,CoRoT-29,1,1,0.90,0.12,-0.12,0,0.97,0.14,-0.14,0
CoRoT-3 b,CoRoT-3,1,1,1.56,0.09,-0.09,0,1.37,0.09,-0.09,0
CoRoT-3 b,CoRoT-3,1,1,1.44,0.08,-0.08,0,1.41,0.08,-0.08,0
CoRoT-3 b,CoRoT-3,1,1,1.56,0.09,-0.09,0,1.37,0.09,-0.09,0
CoRoT-3 b,CoRoT-3,1,1,1.54,0.08,-0.08,0,1.36,0.06,-0.04,0
CoRoT-3 b,CoRoT-3,1,1,1.57,0.10,-0.10,0,1.40,0.06,-0.06,0
CoRoT-30 b,CoRoT-30,1,1,0.91,0.09,-0.03,0,0.98,0.03,-0.05,0
CoRoT-31 b,CoRoT-31,1,1,2.15,0.56,-0.66,0,1.25,0.22,-0.21,0
CoRoT-4 b,CoRoT-4,1,1,1.15,0.09,-0.03,0,1.19,0.05,-0.05,0
CoRoT-4 b,CoRoT-4,1,1,1.17,0.01,-0.03,0,1.16,0.03,-0.02,0
CoRoT-4 b,CoRoT-4,1,1,1.17,0.01,-0.03,0,1.16,0.03,-0.02,0
CoRoT-5 b,CoRoT-5,1,1,1.19,0.04,-0.04,0,1.00,0.02,-0.02,0
CoRoT-5 b,CoRoT-5,1,1,1.19,0.04,-0.04,0,1.00,0.02,-0.02,0
CoRoT-5 b,CoRoT-5,1,1,1.11,0.04,-0.03,0,0.99,0.07,-0.07,0
CoRoT-5 b,CoRoT-5,1,1,1.05,0.08,-0.07,0,1.02,0.10,-0.06,0
CoRoT-6 b,CoRoT-6,1,1,1.02,0.03,-0.03,0,1.05,0.05,-0.05,0
CoRoT-6 b,CoRoT-6,1,1,1.02,0.03,-0.03,0,1.05,0.05,-0.05,0
CoRoT-6 b,CoRoT-6,1,1,1.04,0.03,-0.03,0,1.05,0.06,-0.06,0
CoRoT-7 b,CoRoT-7,1,2,0.86,0.05,-0.04,0,0.90,0.12,-0.10,0
CoRoT-7 b,CoRoT-7,1,2,0.84,0.01,-0.01,0,0.88,0.03,-0.03,0
CoRoT-7 b,CoRoT-7,1,2,0.83,0.04,-0.04,0,0.82,0.17,-0.17,0
CoRoT-7 b,CoRoT-7,1,2,0.86,0.05,-0.04,0,0.90,0.12,-0.10,0
CoRoT-7 b,CoRoT-7,1,2,0.96,0.15,-0.15,0,0.88,0.07,-0.07,0
CoRoT-7 b,CoRoT-7,1,2,0.82,0.02,-0.02,0,0.91,0.02,-0.02,0
CoRoT-7 b,CoRoT-7,1,2,0.87,0.04,-0.04,0,0.93,0.03,-0.03,0
CoRoT-7 c,CoRoT-7,1,2,0.86,0.05,-0.04,0,0.90,0.12,-0.10,0
CoRoT-7 c,CoRoT-7,1,2,0.86,0.05,-0.04,0,0.90,0.12,-0.10,0
CoRoT-8 b,CoRoT-8,1,1,0.77,0.02,-0.02,0,0.88,0.04,-0.04,0
CoRoT-8 b,CoRoT-8,1,1,0.77,0.02,-0.02,0,0.88,0.04,-0.04,0
