# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Mon Oct 25 00:15:47 2021
#
# User preference: *
#
# CONSTRAINT:  where (default_flag = 1)
#
# COLUMN pl_name:        Planet Name
# COLUMN hostname:       Host Name
# COLUMN default_flag:   Default Parameter Set
# COLUMN st_teff:        Stellar Effective Temperature [K]
# COLUMN st_tefferr1:    Stellar Effective Temperature Upper Unc. [K]
# COLUMN st_tefferr2:    Stellar Effective Temperature Lower Unc. [K]
# COLUMN st_tefflim:     Stellar Effective Temperature Limit Flag
# COLUMN st_rad:         Stellar Radius [Solar Radius]
# COLUMN st_raderr1:     Stellar Radius Upper Unc. [Solar Radius]
# COLUMN st_raderr2:     Stellar Radius Lower Unc. [Solar Radius]
# COLUMN st_radlim:      Stellar Radius Limit Flag
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_masserr1:    Stellar Mass Upper Unc. [Solar mass]
# COLUMN st_masserr2:    Stellar Mass Lower Unc. [Solar mass]
# COLUMN st_masslim:     Stellar Mass Limit Flag
# COLUMN sy_dist:        Distance [pc]
# COLUMN sy_disterr1:    Distance [pc] Upper Unc
# COLUMN sy_disterr2:    Distance [pc] Lower Unc
#
pl_name,hostname,default_flag,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,sy_dist,sy_disterr1,sy_disterr2
55 Cnc b,55 Cnc,1,5172.00,18.00,-18.00,0,0.94,0.01,-0.01,0,0.91,0.01,-0.01,0,12.5855000,0.0124000,-0.0123000
55 Cnc c,55 Cnc,1,5172.00,18.00,-18.00,0,0.94,0.01,-0.01,0,0.91,0.01,-0.01,0,12.5855000,0.0124000,-0.0123000
55 Cnc d,55 Cnc,1,5172.00,18.00,-18.00,0,0.94,0.01,-0.01,0,0.91,0.01,-0.01,0,12.5855000,0.0124000,-0.0123000
55 Cnc e,55 Cnc,1,5172.00,18.00,-18.00,0,0.94,0.01,-0.01,0,0.91,0.01,-0.01,0,12.5855000,0.0124000,-0.0123000
55 Cnc f,55 Cnc,1,5172.00,18.00,-18.00,0,0.94,0.01,-0.01,0,0.91,0.01,-0.01,0,12.5855000,0.0124000,-0.0123000
6 Lyn b,6 Lyn,1,4938.00,,,0,5.20,,,0,1.44,,,0,54.6599000,0.2734000,-0.2734000
61 Vir b,61 Vir,1,5577.00,33.00,-33.00,0,0.96,0.01,-0.01,0,0.94,0.03,-0.03,0,8.5033200,0.0173700,-0.0173000
61 Vir c,61 Vir,1,5577.00,33.00,-33.00,0,0.96,0.01,-0.01,0,0.94,0.03,-0.03,0,8.5033200,0.0173700,-0.0173000
61 Vir d,61 Vir,1,5577.00,33.00,-33.00,0,0.96,0.01,-0.01,0,0.94,0.03,-0.03,0,8.5033200,0.0173700,-0.0173000
7 CMa b,7 CMa,1,4826.00,45.00,-55.00,0,4.87,0.17,-0.14,0,1.34,0.11,-0.12,0,19.8101000,0.1648000,-0.1648000
7 CMa c,7 CMa,1,4826.00,45.00,-55.00,0,4.87,0.17,-0.14,0,1.34,0.11,-0.12,0,19.8101000,0.1648000,-0.1648000
70 Vir b,70 Vir,1,5495.00,,,0,1.89,,,0,1.09,,,0,17.9011000,0.0560000,-0.0557000
75 Cet b,75 Cet,1,4846.00,18.00,-18.00,0,10.50,1.00,-1.00,0,2.49,0.02,-0.27,0,82.9613000,0.7236500,-0.7236500
8 UMi b,8 UMi,1,4847.00,7.00,-7.00,0,10.30,0.57,-0.57,0,1.44,0.19,-0.19,0,162.5520000,0.6510000,-0.6460000
81 Cet b,81 Cet,1,4785.00,25.00,-25.00,0,11.00,2.00,-1.00,0,2.40,0.10,-0.40,0,101.2600000,1.2220000,-1.2220000
91 Aqr b,91 Aqr,1,4665.00,18.00,-18.00,0,11.00,0.10,-0.10,0,1.40,0.10,-0.10,0,44.0304000,0.5132500,-0.5132500
AB Pic b,AB Pic,1,,,,,,,,,,,,,50.0475000,0.0735000,-0.0733000
AU Mic b,AU Mic,1,3700.00,100.00,-100.00,0,0.75,0.03,-0.03,0,0.50,0.03,-0.03,0,9.7221000,0.0046250,-0.0046250
AU Mic c,AU Mic,1,3700.00,100.00,-100.00,0,0.75,0.03,-0.03,0,0.50,0.03,-0.03,0,9.7221000,0.0046250,-0.0046250
BD+03 2562 b,BD+03 2562,1,4095.00,20.00,-20.00,0,32.35,8.82,-8.82,0,1.14,0.25,-0.25,0,1070.6300000,63.8750000,-63.8750000
BD+14 4559 b,BD+14 4559,1,4864.00,101.00,-101.00,0,0.86,0.04,-0.04,0,0.49,0.33,-0.33,0,49.3520000,0.0846000,-0.0844000
BD+15 2375 b,BD+15 2375,1,4649.00,30.00,-30.00,0,8.95,1.45,-1.45,0,1.08,0.14,-0.14,0,768.0450000,45.0380000,-45.0380000
BD+15 2940 b,BD+15 2940,1,4796.00,117.00,-117.00,0,14.70,2.80,-2.80,0,1.10,0.20,-0.20,0,426.4200000,6.4400000,-6.4400000
BD+20 2457 b,BD+20 2457,1,4259.00,64.00,-64.00,0,71.02,73.63,-73.63,0,10.83,22.96,-22.96,0,1539.7100000,189.9250000,-189.9250000
BD+20 2457 c,BD+20 2457,1,4137.00,10.00,-10.00,0,49.00,26.00,-26.00,0,2.80,1.50,-1.50,0,1539.7100000,189.9250000,-189.9250000
BD+20 274 b,BD+20 274,1,4296.00,10.00,-10.00,0,17.30,0.90,-0.90,0,0.80,0.20,-0.20,0,1322.5100000,80.5350000,-80.5350000
BD+20 594 b,BD+20 594,1,5766.00,99.00,-99.00,0,1.08,0.06,-0.06,0,1.67,0.40,-0.40,0,179.4610000,1.2570000,-1.2400000
BD+45 564 b,BD+45 564,1,5004.00,50.00,-50.00,0,,,,,0.81,0.07,-0.07,0,53.6220000,0.1919000,-0.1905000
BD+48 738 b,BD+48 738,1,4414.00,15.00,-15.00,0,11.00,1.00,-1.00,0,0.74,0.39,-0.39,0,871.4930000,43.8490000,-43.8490000
BD+48 740 b,BD+48 740,1,4534.00,8.00,-8.00,0,10.33,1.81,-1.81,0,1.09,0.16,-0.16,0,666.5890000,21.5335000,-21.5335000
BD+49 828 b,BD+49 828,1,4943.00,30.00,-30.00,0,7.60,1.30,-1.30,0,1.52,0.22,-0.22,0,442.0420000,7.6540000,-7.6540000
BD+55 362 b,BD+55 362,1,5012.00,78.00,-78.00,0,,,,,0.91,0.10,-0.10,0,52.5697000,0.0974000,-0.0971000
BD+63 1405 b,BD+63 1405,1,5000.00,53.00,-53.00,0,,,,,0.82,0.08,-0.08,0,38.0473000,0.0329000,-0.0329000
BD-00 4475 b,BD-00 4475,1,5040.00,112.00,-112.00,0,,,,,0.81,0.10,-0.10,0,42.6402000,0.1816000,-0.1801000
BD-06 1339 b,BD-06 1339,1,4324.00,100.00,-100.00,0,,,,,0.70,,,0,20.2695000,0.0220000,-0.0218000
BD-06 1339 c,BD-06 1339,1,4324.00,100.00,-100.00,0,,,,,0.70,,,0,20.2695000,0.0220000,-0.0218000
BD-08 2823 b,BD-08 2823,1,4816.00,114.00,-114.00,0,0.71,0.04,-0.04,0,0.50,0.26,-0.26,0,41.3342000,0.0685000,-0.0682000
BD-08 2823 c,BD-08 2823,1,4746.00,63.00,-63.00,0,,,,,0.74,0.07,-0.07,0,41.3342000,0.0685000,-0.0682000
BD-10 3166 b,BD-10 3166,1,5393.00,44.00,-44.00,0,0.91,0.04,-0.04,0,1.47,0.24,-0.24,0,84.4069000,0.3537000,-0.3508000
BD-11 4672 b,BD-11 4672,1,4550.00,110.00,-110.00,0,0.64,0.02,-0.02,0,0.65,0.03,-0.03,0,27.1665000,0.0346000,-0.0346000
BD-11 4672 c,BD-11 4672,1,4550.00,110.00,-110.00,0,0.64,0.02,-0.02,0,0.65,0.03,-0.03,0,27.1665000,0.0346000,-0.0346000
BD-13 2130 b,BD-13 2130,1,4545.00,71.00,-71.00,0,19.17,4.96,-4.96,0,2.12,1.47,-1.47,0,925.2140000,41.2110000,-41.2110000
BD-17 63 b,BD-17 63,1,4714.00,93.00,-93.00,0,0.69,,,0,0.74,0.03,-0.03,0,34.4603000,0.0929000,-0.0924000
CFBDSIR J145829+101343 b,CFBDSIR J145829+101343,1,580.50,24.50,-24.50,0,,,,,0.02,0.01,-0.01,0,,,
CFHTWIR-Oph 98 b,CFHTWIR-Oph 98 A,1,2320.00,40.00,-40.00,0,0.24,0.01,-0.01,0,0.01,0.00,0.00,0,,,
CHXR 73 b,CHXR 73,1,,,,,,,,,0.35,,,0,190.3740000,6.6470000,-6.2200000
CI Tau b,CI Tau,1,,,,,,,,,0.90,0.02,-0.02,0,157.9980000,1.1980000,-1.1800000
COCONUTS-2 b,COCONUTS-2 A,1,3406.00,69.00,-69.00,0,0.39,0.01,-0.01,0,0.37,0.02,-0.02,0,10.8864000,0.0041000,-0.0042000
CT Cha b,CT Cha,1,,,,,,,,,,,,,190.7200000,0.7780000,-0.7710000
CoRoT-1 b,CoRoT-1,1,5950.00,150.00,-150.00,0,1.11,0.05,-0.05,0,0.95,0.15,-0.15,0,787.9090000,23.4910000,-23.4910000
CoRoT-10 b,CoRoT-10,1,5075.00,75.00,-75.00,0,0.79,0.05,-0.05,0,0.89,0.05,-0.05,0,338.3860000,3.9865000,-3.9865000
CoRoT-11 b,CoRoT-11,1,6440.00,120.00,-120.00,0,1.37,0.03,-0.03,0,1.27,0.05,-0.05,0,655.0370000,24.9470000,-23.2090000
CoRoT-12 b,CoRoT-12,1,5675.00,80.00,-80.00,0,1.12,0.10,-0.09,0,1.08,0.08,-0.07,0,1126.3700000,55.7450000,-55.7450000
CoRoT-13 b,CoRoT-13,1,5945.00,90.00,-90.00,0,1.01,0.03,-0.03,0,1.09,0.02,-0.02,0,1148.9300000,62.1200000,-56.1500000
CoRoT-14 b,CoRoT-14,1,6035.00,100.00,-100.00,0,1.21,0.08,-0.08,0,1.13,0.09,-0.09,0,1744.6000000,173.0300000,-144.9000000
CoRoT-16 b,CoRoT-16,1,5650.00,100.00,-100.00,0,1.19,0.14,-0.13,0,1.10,0.08,-0.08,0,732.4090000,35.3440000,-32.2820000
CoRoT-17 b,CoRoT-17,1,5740.00,80.00,-80.00,0,1.59,0.07,-0.07,0,1.04,0.10,-0.10,0,1176.1200000,57.1700000,-52.1900000
CoRoT-18 b,CoRoT-18,1,5440.00,100.00,-100.00,0,1.00,0.13,-0.13,0,0.95,0.15,-0.15,0,764.8890000,27.6140000,-25.7840000
CoRoT-19 b,CoRoT-19,1,6090.00,70.00,-70.00,0,1.65,0.04,-0.04,0,1.21,0.05,-0.05,0,790.6630000,26.7370000,-25.0710000
CoRoT-2 b,CoRoT-2,1,5625.00,120.00,-120.00,0,0.91,0.03,-0.03,0,0.96,0.08,-0.08,0,213.2830000,2.4850000,-2.4300000
CoRoT-20 b,CoRoT-20,1,,,,,,,,,1.14,0.08,-0.08,0,844.0610000,24.1710000,-22.8830000
CoRoT-20 c,CoRoT-20,1,,,,,,,,,1.14,0.08,-0.08,0,844.0610000,24.1710000,-22.8830000
CoRoT-21 b,CoRoT-21,1,6200.00,100.00,-100.00,0,1.95,0.21,-0.21,0,1.29,0.09,-0.09,0,,,
CoRoT-22 b,CoRoT-22,1,5939.00,54.00,-120.00,0,1.14,0.04,-0.09,0,1.10,0.05,-0.05,0,627.1580000,11.1870000,-10.8080000
CoRoT-23 b,CoRoT-23,1,5900.00,100.00,-100.00,0,1.61,0.18,-0.18,0,1.14,0.08,-0.08,0,1060.9700000,45.4700000,-41.9400000
CoRoT-24 b,CoRoT-24,1,4950.00,150.00,-150.00,0,0.86,0.09,-0.09,0,0.91,0.09,-0.09,0,591.5550000,16.0430000,-15.2320000
CoRoT-24 c,CoRoT-24,1,4950.00,150.00,-150.00,0,0.86,0.09,-0.09,0,0.91,0.09,-0.09,0,591.5550000,16.0430000,-15.2320000
CoRoT-25 b,CoRoT-25,1,6040.00,90.00,-90.00,0,1.19,0.14,-0.03,0,1.09,0.11,-0.05,0,1103.4800000,44.2800000,-41.0500000
CoRoT-26 b,CoRoT-26,1,5590.00,100.00,-100.00,0,1.79,0.18,-0.09,0,1.09,0.06,-0.06,0,1045.1800000,,
CoRoT-27 b,CoRoT-27,1,5900.00,120.00,-120.00,0,1.08,0.18,-0.06,0,1.05,0.11,-0.11,0,1010.2800000,69.2600000,-61.0360000
CoRoT-28 b,CoRoT-28,1,5150.00,100.00,-100.00,0,1.78,0.11,-0.11,0,1.01,0.14,-0.14,0,766.1830000,14.6850000,-14.1520000
CoRoT-29 b,CoRoT-29,1,5260.00,100.00,-100.00,0,0.90,0.12,-0.12,0,0.97,0.14,-0.14,0,806.5070000,44.0270000,-39.7600000
CoRoT-3 b,CoRoT-3,1,6740.00,140.00,-140.00,0,1.56,0.09,-0.09,0,1.37,0.09,-0.09,0,768.7710000,30.7910000,-28.5450000
CoRoT-30 b,CoRoT-30,1,5650.00,100.00,-100.00,0,0.91,0.09,-0.03,0,0.98,0.03,-0.05,0,1032.2300000,48.5700000,-44.4670000
CoRoT-31 b,CoRoT-31,1,5700.00,120.00,-120.00,0,2.15,0.56,-0.66,0,1.25,0.22,-0.21,0,2005.7600000,169.7900000,-145.7100000
CoRoT-4 b,CoRoT-4,1,6190.00,60.00,-60.00,0,1.17,0.01,-0.03,0,1.16,0.03,-0.02,0,726.4120000,15.1810000,-14.5820000
CoRoT-5 b,CoRoT-5,1,6100.00,65.00,-65.00,0,1.19,0.04,-0.04,0,1.00,0.02,-0.02,0,882.4720000,25.6200000,-25.6200000
CoRoT-6 b,CoRoT-6,1,6090.00,70.00,-70.00,0,1.02,0.03,-0.03,0,1.05,0.05,-0.05,0,645.2940000,12.4530000,-11.9970000
CoRoT-7 b,CoRoT-7,1,5275.00,75.00,-75.00,0,0.83,0.04,-0.04,0,0.82,0.17,-0.17,0,159.9060000,0.9170000,-0.9060000
CoRoT-7 c,CoRoT-7,1,5256.00,91.33,-130.85,0,0.86,0.05,-0.04,0,0.90,0.12,-0.10,0,159.9060000,0.9170000,-0.9060000
CoRoT-8 b,CoRoT-8,1,5080.00,80.00,-80.00,0,0.77,0.02,-0.02,0,0.88,0.04,-0.04,0,322.0370000,2.7140000,-2.7140000
CoRoT-9 b,CoRoT-9,1,5625.00,80.00,-80.00,0,0.96,0.06,-0.06,0,0.96,0.04,-0.04,0,412.9800000,4.7250000,-4.6220000
CoRoTID 223977153 b,CoRoTID 223977153,1,5970.00,100.00,-100.00,0,0.79,0.08,-0.09,0,1.08,0.08,-0.07,0,576.6830000,10.4360000,-10.4360000
DE CVn b,DE CVn,1,,,,,,,,,0.51,,,0,30.5225000,0.0284000,-0.0285000
DENIS-P J082303.1-491201 b,DENIS-P J082303.1-491201,1,,,,,,,,,0.07,0.01,-0.01,0,,,
DH Tau b,DH Tau,1,,,,,0.27,0.07,-0.07,0,0.33,,,0,134.8460000,1.2820000,-1.2580000
DMPP-1 b,DMPP-1,1,6196.00,29.00,-29.00,0,1.26,0.02,-0.02,0,1.21,0.03,-0.03,0,62.5388000,0.1782000,-0.1773000
DMPP-1 c,DMPP-1,1,6196.00,29.00,-29.00,0,1.26,0.02,-0.02,0,1.21,0.03,-0.03,0,62.5388000,0.1782000,-0.1773000
DMPP-1 d,DMPP-1,1,6196.00,29.00,-29.00,0,1.26,0.02,-0.02,0,1.21,0.03,-0.03,0,62.5388000,0.1782000,-0.1773000
DMPP-1 e,DMPP-1,1,6196.00,29.00,-29.00,0,1.26,0.02,-0.02,0,1.21,0.03,-0.03,0,62.5388000,0.1782000,-0.1773000
DMPP-2 b,DMPP-2,1,6500.00,100.00,-100.00,0,1.78,0.09,-0.09,0,1.44,0.03,-0.03,0,137.9400000,0.6810000,-0.6750000
DMPP-3 A b,DMPP-3 A,1,5138.00,99.00,-99.00,0,0.91,0.02,-0.02,0,0.87,0.05,-0.05,0,45.2300000,1.6000000,-1.7200000
DP Leo b,DP Leo,1,,,,,,,,,0.69,,,0,305.6840000,33.5540000,-27.6040000
DS Tuc A b,DS Tuc A,1,5428.00,80.00,-80.00,0,0.96,0.03,-0.03,0,1.01,0.06,-0.06,0,44.0622000,0.0693000,-0.0691000
EPIC 201170410.02,EPIC 201170410,1,3648.00,172.00,-143.00,0,0.28,0.07,-0.07,0,0.29,0.10,-0.08,0,,,
EPIC 201238110 b,EPIC 201238110,1,,,,,,,,,0.41,0.11,-0.05,0,159.2590000,1.4140000,-1.3900000
EPIC 201497682 b,EPIC 201497682,1,,,,,,,,,0.78,0.09,-0.17,0,253.0260000,1.6640000,-1.6640000
EPIC 201615463 c,K2-166,1,,,,,,,,,1.07,0.03,-0.03,0,476.8820000,9.6920000,-9.3210000
EPIC 201754305 d,K2-16,1,,,,,,,,,0.67,0.03,-0.04,0,334.9670000,4.1785000,-4.1785000
EPIC 201757695.02,EPIC 201757695,1,4520.00,108.00,-54.00,0,0.66,0.04,-0.04,0,0.73,0.04,-0.05,0,,,
EPIC 201833600 c,K2-50,1,,,,,,,,,0.61,0.06,-0.06,0,257.4430000,3.2390000,-3.2390000
EPIC 201841433 b,EPIC 201841433,1,5053.00,103.00,-166.00,0,0.63,0.04,-0.02,0,0.80,0.08,-0.16,0,436.4880000,8.1780010,-7.8880000
EPIC 205950854 c,K2-168,1,5502.70,101.00,-50.50,0,0.83,0.09,-0.04,0,0.88,0.06,-0.03,0,243.9350000,4.2390000,-4.0990000
EPIC 206024342 b,EPIC 206024342,1,,,,,,,,,0.93,0.08,-0.10,0,369.8880000,4.9900000,-4.8600000
EPIC 206032309 b,EPIC 206032309,1,,,,,,,,,0.22,0.04,-0.06,0,161.3650000,1.7930000,-1.7930000
EPIC 206042996 b,EPIC 206042996,1,,,,,,,,,0.56,0.05,-0.05,0,451.7690000,13.9760000,-13.1760000
EPIC 206215704 b,EPIC 206215704,1,,,,,,,,,0.41,0.10,-0.08,0,109.8880000,1.0800000,-1.0800000
EPIC 206317286 b,EPIC 206317286,1,,,,,,,,,0.71,0.09,-0.03,0,314.3500000,2.9360000,-2.8820000
EPIC 211822797 b,EPIC 211822797,1,4057.00,37.00,-39.00,0,0.58,0.01,-0.01,0,0.62,0.02,-0.02,0,186.1970000,1.3645000,-1.3645000
EPIC 211945201 b,EPIC 211945201,1,6069.00,90.00,-90.00,0,1.39,0.02,-0.02,0,1.17,0.04,-0.04,0,181.6900000,1.2950000,-1.2770000
EPIC 212297394 b,EPIC 212297394,1,5171.00,172.00,-130.00,0,0.80,0.03,-0.03,0,0.83,0.05,-0.04,0,418.3950000,7.3530000,-7.1070000
EPIC 212297394 c,EPIC 212297394,1,5171.00,172.00,-130.00,0,0.80,0.03,-0.03,0,0.83,0.05,-0.04,0,418.3950000,7.3530000,-7.1070000
EPIC 212424622 b,EPIC 212424622,1,,,,,,,,,1.11,0.14,-0.12,0,611.8040000,10.2850000,-9.9560000
EPIC 212499991 b,EPIC 212499991,1,,,,,,,,,0.91,0.04,-0.16,0,283.2900000,2.0430000,-2.0150000
EPIC 212587672 b,EPIC 212587672,1,6004.00,77.00,-78.00,0,0.98,0.04,-0.03,0,0.99,0.03,-0.04,0,320.0700000,6.3920000,-6.1520000
EPIC 212587672 c,EPIC 212587672,1,6004.00,77.00,-78.00,0,0.98,0.04,-0.03,0,0.99,0.03,-0.04,0,320.0700000,6.3920000,-6.1520000
EPIC 212737443 b,EPIC 212737443,1,4684.00,79.00,-79.00,0,0.67,0.02,-0.02,0,0.69,0.04,-0.04,0,336.2500000,4.7430000,-4.6150000
EPIC 212737443 c,EPIC 212737443,1,4684.00,79.00,-79.00,0,0.67,0.02,-0.02,0,0.69,0.04,-0.04,0,336.2500000,4.7430000,-4.6150000
EPIC 220554210 c,K2-282,1,,,,,,,,,0.94,0.04,-0.04,0,496.2890000,7.9020000,-7.6630000
EPIC 220674823 b,EPIC 220674823,1,5617.00,86.00,-86.00,0,0.98,0.02,-0.02,0,0.97,0.04,-0.04,0,244.5900000,3.0440000,-2.9720000
EPIC 220674823 c,EPIC 220674823,1,5617.00,86.00,-86.00,0,0.98,0.02,-0.02,0,0.97,0.04,-0.04,0,244.5900000,3.0440000,-2.9720000
EPIC 246851721 b,EPIC 246851721,1,6202.00,52.00,-50.00,0,1.59,0.03,-0.03,0,1.32,0.04,-0.04,0,372.6320000,19.4560000,-17.6440000
EPIC 248847494 b,EPIC 248847494,1,4898.00,68.00,-68.00,0,2.70,0.12,-0.12,0,0.90,0.09,-0.09,0,551.8860000,12.7520000,-12.7520000
EPIC 249893012 b,EPIC 249893012,1,5430.00,85.00,-85.00,0,1.71,0.04,-0.04,0,1.05,0.05,-0.05,0,321.2960000,4.1890000,-4.0850000
EPIC 249893012 c,EPIC 249893012,1,5430.00,85.00,-85.00,0,1.71,0.04,-0.04,0,1.05,0.05,-0.05,0,321.2960000,4.1890000,-4.0850000
EPIC 249893012 d,EPIC 249893012,1,5430.00,85.00,-85.00,0,1.71,0.04,-0.04,0,1.05,0.05,-0.05,0,321.2960000,4.1890000,-4.0850000
FU Tau b,FU Tau,1,2838.00,,,0,,,,,0.05,,,0,,,
G 264-012 b,G 264-012,1,3326.00,54.00,-54.00,0,0.30,0.01,-0.01,0,0.30,0.02,-0.02,0,16.0090000,0.0104000,-0.0103000
G 264-012 c,G 264-012,1,3326.00,54.00,-54.00,0,0.30,0.01,-0.01,0,0.30,0.02,-0.02,0,16.0090000,0.0104000,-0.0103000
G 9-40 b,G 9-40,1,3348.00,32.00,-32.00,0,0.31,0.01,-0.01,0,0.29,0.02,-0.02,0,27.9276000,0.0451000,-0.0450000
GJ 1061 b,GJ 1061,1,2953.00,98.00,-98.00,0,0.16,0.01,-0.01,0,0.12,0.01,-0.01,0,3.6727800,0.0008900,-0.0009000
GJ 1061 c,GJ 1061,1,2953.00,98.00,-98.00,0,0.16,0.01,-0.01,0,0.12,0.01,-0.01,0,3.6727800,0.0008900,-0.0009000
GJ 1061 d,GJ 1061,1,2953.00,98.00,-98.00,0,0.16,0.01,-0.01,0,0.12,0.01,-0.01,0,3.6727800,0.0008900,-0.0009000
GJ 1132 b,GJ 1132,1,3270.00,140.00,-140.00,0,0.21,0.01,-0.01,0,0.18,0.02,-0.02,0,12.6130000,0.0070000,-0.0070000
