# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Tue Oct 26 06:53:35 2021
#
# User preference: *
#
# COLUMN pl_name:        Planet Name
# COLUMN hostname:       Host Name
# COLUMN sy_snum:        Number of Stars
# COLUMN sy_pnum:        Number of Planets
# COLUMN st_spectype:    Spectral Type
# COLUMN st_teff:        Stellar Effective Temperature [K]
# COLUMN st_rad:         Stellar Radius [Solar Radius]
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN rastr:          RA [sexagesimal]
# COLUMN ra:             RA [deg]
# COLUMN decstr:         Dec [sexagesimal]
# COLUMN dec:            Dec [deg]
# COLUMN sy_dist:        Distance [pc]
#
pl_name,hostname,sy_snum,sy_pnum,st_spectype,st_teff,st_rad,st_mass,rastr,ra,decstr,dec,sy_dist
18 Del b,18 Del,2,1,,,,2.10,20h58m25.88s,314.6078375,+10d50m20.90s,10.8391378,76.2220000
18 Del b,18 Del,2,1,G6 III,4979.00,8.50,2.30,20h58m25.88s,314.6078375,+10d50m20.90s,10.8391378,76.2220000
1RXS J160929.1-210524 b,1RXS J160929.1-210524,1,1,K7 V,4060.00,1.35,0.85,16h09m30.30s,242.3762343,-21d04m59.31s,-21.0831403,139.1350000
1RXS J160929.1-210524 b,1RXS J160929.1-210524,1,1,,4060.00,,0.85,16h09m30.30s,242.3762343,-21d04m59.31s,-21.0831403,139.1350000
1RXS J160929.1-210524 b,1RXS J160929.1-210524,1,1,K7 V,4060.00,,0.85,16h09m30.30s,242.3762343,-21d04m59.31s,-21.0831403,139.1350000
1RXS J160929.1-210524 b,1RXS J160929.1-210524,1,1,,3993.00,1.31,0.62,16h09m30.30s,242.3762343,-21d04m59.31s,-21.0831403,139.1350000
24 Boo b,24 Boo,1,1,G3 IV,4893.00,10.64,0.99,14h28m37.33s,217.1555242,+49d50m40.74s,49.8446488,95.9863000
24 Sex b,24 Sex,1,2,,5098.00,4.90,1.54,10h23m28.44s,155.8684866,-00d54m08.64s,-0.9023998,72.0691000
24 Sex c,24 Sex,1,2,,5098.00,4.90,1.54,10h23m28.44s,155.8684866,-00d54m08.64s,-0.9023998,72.0691000
2MASS J01033563-5515561 AB b,2MASS J01033563-5515561 A,2,1,M5.5/M6,,,0.19,01h03m35.82s,15.8992489,-55d15m56.98s,-55.2658291,
2MASS J01225093-2439505 b,2MASS J01225093-2439505,1,1,,3309.00,0.37,0.35,01h22m51.07s,20.7128012,-24d39m52.61s,-24.6646128,33.8281000
2MASS J01225093-2439505 b,2MASS J01225093-2439505,1,1,M3.5 V,3530.00,,0.40,01h22m51.07s,20.7128012,-24d39m52.61s,-24.6646128,33.8281000
2MASS J02192210-3925225 b,2MASS J02192210-3925225,1,1,M6,3064.00,0.28,0.11,02h19m22.25s,34.8427046,-39d25m23.08s,-39.4230767,
2MASS J04414489+2301513 b,2MASS J04414489+2301513,1,1,M8.5,,,0.02,04h41m44.91s,70.4371079,+23d01m51.08s,23.0308544,
2MASS J12073346-3932539 b,2MASS J12073346-3932539,1,1,,2825.00,0.22,0.19,12h07m33.38s,181.8890906,-39d32m54.38s,-39.5484399,64.3080000
2MASS J12073346-3932539 b,2MASS J12073346-3932539,1,1,M8,,,0.02,12h07m33.38s,181.8890906,-39d32m54.38s,-39.5484399,64.3080000
2MASS J19383260+4603591 b,2MASS J19383260+4603591,2,1,,,,0.48,19h38m32.62s,294.6359173,+46d03m59.07s,46.0664076,396.3320000
2MASS J21402931+1625183 A b,2MASS J21402931+1625183 A,1,1,M8.5,2300.00,0.12,0.08,21h40m29.24s,325.1218214,+16d25m16.83s,16.4213408,
2MASS J22362452+4751425 b,2MASS J22362452+4751425,1,1,K7 V,4045.00,,0.60,22h36m24.62s,339.1025931,+47d51m42.06s,47.8616830,69.5737000
30 Ari B b,30 Ari B,4,1,,,1.13,1.16,02h36m57.91s,39.2412736,+24d38m52.84s,24.6480103,44.6570000
30 Ari B b,30 Ari B,4,1,F6 V,6300.00,1.13,1.16,02h36m57.91s,39.2412736,+24d38m52.84s,24.6480103,44.6570000
30 Ari B b,30 Ari B,4,1,,6331.00,1.41,1.93,02h36m57.91s,39.2412736,+24d38m52.84s,24.6480103,44.6570000
4 UMa b,4 UMa,1,1,K1 III,4415.00,18.11,1.23,08h40m12.67s,130.0528099,+64d19m40.98s,64.3280504,73.4603000
42 Dra b,42 Dra,2,1,K1.5 III,4200.00,22.03,0.98,18h25m59.40s,276.4975053,+65d33m48.11s,65.5633652,90.6545000
47 UMa b,47 UMa,1,3,G1 V,,,,10h59m27.54s,164.8647611,+40d25m49.78s,40.4304931,13.7967000
47 UMa b,47 UMa,1,3,,,,,10h59m27.54s,164.8647611,+40d25m49.78s,40.4304931,13.7967000
47 UMa b,47 UMa,1,3,,5872.00,1.21,1.06,10h59m27.54s,164.8647611,+40d25m49.78s,40.4304931,13.7967000
47 UMa b,47 UMa,1,3,,5829.16,1.14,1.01,10h59m27.54s,164.8647611,+40d25m49.78s,40.4304931,13.7967000
47 UMa b,47 UMa,1,3,G0 V,5882.00,,1.06,10h59m27.54s,164.8647611,+40d25m49.78s,40.4304931,13.7967000
47 UMa c,47 UMa,1,3,G1 V,,,,10h59m27.54s,164.8647611,+40d25m49.78s,40.4304931,13.7967000
47 UMa c,47 UMa,1,3,,5829.16,1.14,1.01,10h59m27.54s,164.8647611,+40d25m49.78s,40.4304931,13.7967000
47 UMa c,47 UMa,1,3,,5872.00,1.21,1.06,10h59m27.54s,164.8647611,+40d25m49.78s,40.4304931,13.7967000
47 UMa d,47 UMa,1,3,,5872.00,1.21,1.06,10h59m27.54s,164.8647611,+40d25m49.78s,40.4304931,13.7967000
47 UMa d,47 UMa,1,3,,5829.16,1.14,1.01,10h59m27.54s,164.8647611,+40d25m49.78s,40.4304931,13.7967000
51 Eri b,51 Eri,3,1,,7295.00,1.49,1.65,04h37m36.18s,69.4007424,-02d28m25.77s,-2.4738245,29.7575000
51 Eri b,51 Eri,3,1,F0 IV,,,1.75,04h37m36.18s,69.4007424,-02d28m25.77s,-2.4738245,29.7575000
51 Eri b,51 Eri,3,1,,7295.00,1.49,1.65,04h37m36.18s,69.4007424,-02d28m25.77s,-2.4738245,29.7575000
51 Peg b,51 Peg,1,1,,5760.76,1.19,1.07,22h57m28.21s,344.3675399,+20d46m08.74s,20.7690958,15.4614000
51 Peg b,51 Peg,1,1,,5758.00,1.18,1.03,22h57m28.21s,344.3675399,+20d46m08.74s,20.7690958,15.4614000
51 Peg b,51 Peg,1,1,,,,,22h57m28.21s,344.3675399,+20d46m08.74s,20.7690958,15.4614000
51 Peg b,51 Peg,1,1,,,,1.04,22h57m28.21s,344.3675399,+20d46m08.74s,20.7690958,15.4614000
51 Peg b,51 Peg,1,1,,5773.00,1.29,,22h57m28.21s,344.3675399,+20d46m08.74s,20.7690958,15.4614000
55 Cnc b,55 Cnc,2,5,,,,,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154,12.5855000
55 Cnc b,55 Cnc,2,5,K0 IV-V,,,,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154,12.5855000
55 Cnc b,55 Cnc,2,5,,5250.00,0.96,0.90,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154,12.5855000
55 Cnc b,55 Cnc,2,5,,5172.00,0.94,0.91,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154,12.5855000
55 Cnc b,55 Cnc,2,5,G8 V,,,0.95,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154,12.5855000
55 Cnc b,55 Cnc,2,5,,5250.00,0.96,0.90,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154,12.5855000
55 Cnc b,55 Cnc,2,5,,5250.00,0.96,0.90,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154,12.5855000
55 Cnc b,55 Cnc,2,5,,,,0.95,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154,12.5855000
55 Cnc b,55 Cnc,2,5,,,,0.95,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154,12.5855000
55 Cnc b,55 Cnc,2,5,,5317.89,0.96,0.97,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154,12.5855000
55 Cnc b,55 Cnc,2,5,,5250.00,0.96,0.90,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154,12.5855000
55 Cnc b,55 Cnc,2,5,G8 V,5200.00,,0.85,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154,12.5855000
55 Cnc c,55 Cnc,2,5,,,,0.95,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154,12.5855000
55 Cnc c,55 Cnc,2,5,,5250.00,0.96,0.90,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154,12.5855000
55 Cnc c,55 Cnc,2,5,,5172.00,0.94,0.91,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154,12.5855000
55 Cnc c,55 Cnc,2,5,,5250.00,0.96,0.90,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154,12.5855000
55 Cnc c,55 Cnc,2,5,,,,0.95,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154,12.5855000
55 Cnc c,55 Cnc,2,5,,5250.00,0.96,0.90,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154,12.5855000
55 Cnc c,55 Cnc,2,5,,5317.89,0.96,0.97,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154,12.5855000
55 Cnc c,55 Cnc,2,5,,5250.00,0.96,0.90,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154,12.5855000
55 Cnc d,55 Cnc,2,5,,5317.89,0.96,0.97,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154,12.5855000
55 Cnc d,55 Cnc,2,5,,5250.00,0.96,0.90,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154,12.5855000
55 Cnc d,55 Cnc,2,5,,5250.00,0.96,0.90,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154,12.5855000
55 Cnc d,55 Cnc,2,5,,5250.00,0.96,0.90,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154,12.5855000
55 Cnc d,55 Cnc,2,5,,,,0.95,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154,12.5855000
55 Cnc d,55 Cnc,2,5,,,,,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154,12.5855000
55 Cnc d,55 Cnc,2,5,,5172.00,0.94,0.91,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154,12.5855000
55 Cnc d,55 Cnc,2,5,,5250.00,0.96,0.90,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154,12.5855000
55 Cnc d,55 Cnc,2,5,G8 V,,,0.95,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154,12.5855000
55 Cnc d,55 Cnc,2,5,,,,0.95,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154,12.5855000
55 Cnc e,55 Cnc,2,5,,5250.00,0.96,0.90,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154,12.5855000
55 Cnc e,55 Cnc,2,5,,5250.00,0.96,0.90,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154,12.5855000
55 Cnc e,55 Cnc,2,5,,5250.00,0.96,0.90,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154,12.5855000
55 Cnc e,55 Cnc,2,5,,5250.00,0.96,0.90,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154,12.5855000
55 Cnc e,55 Cnc,2,5,,,,0.95,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154,12.5855000
55 Cnc e,55 Cnc,2,5,,5317.89,0.96,0.97,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154,12.5855000
55 Cnc e,55 Cnc,2,5,,,,,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154,12.5855000
55 Cnc e,55 Cnc,2,5,,5234.00,0.94,0.91,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154,12.5855000
55 Cnc e,55 Cnc,2,5,,5250.00,0.96,0.90,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154,12.5855000
55 Cnc e,55 Cnc,2,5,,5172.00,0.95,0.87,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154,12.5855000
55 Cnc e,55 Cnc,2,5,,5172.00,0.94,0.91,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154,12.5855000
55 Cnc e,55 Cnc,2,5,,5250.00,0.96,0.90,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154,12.5855000
55 Cnc e,55 Cnc,2,5,,,,0.95,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154,12.5855000
55 Cnc e,55 Cnc,2,5,G8 V,,0.94,0.96,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154,12.5855000
55 Cnc f,55 Cnc,2,5,,,,0.95,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154,12.5855000
55 Cnc f,55 Cnc,2,5,,5250.00,0.96,0.90,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154,12.5855000
55 Cnc f,55 Cnc,2,5,,5317.89,0.96,0.97,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154,12.5855000
55 Cnc f,55 Cnc,2,5,,5172.00,0.94,0.91,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154,12.5855000
55 Cnc f,55 Cnc,2,5,,5250.00,0.96,0.90,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154,12.5855000
55 Cnc f,55 Cnc,2,5,,5250.00,0.96,0.90,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154,12.5855000
55 Cnc f,55 Cnc,2,5,,5250.00,0.96,0.90,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154,12.5855000
6 Lyn b,6 Lyn,1,1,,4938.00,5.20,1.44,06h30m47.05s,97.6960311,+58d09m40.23s,58.1611753,54.6599000
6 Lyn b,6 Lyn,1,1,,,5.20,1.82,06h30m47.05s,97.6960311,+58d09m40.23s,58.1611753,54.6599000
6 Lyn b,6 Lyn,1,1,K0 IV,4978.00,5.20,1.70,06h30m47.05s,97.6960311,+58d09m40.23s,58.1611753,54.6599000
61 Vir b,61 Vir,1,3,,5585.57,1.03,0.91,13h18m23.15s,199.5964550,-18d18m56.79s,-18.3157745,8.5033200
61 Vir b,61 Vir,1,3,G5 V,5577.00,0.96,0.94,13h18m23.15s,199.5964550,-18d18m56.79s,-18.3157745,8.5033200
61 Vir c,61 Vir,1,3,G5 V,5577.00,0.96,0.94,13h18m23.15s,199.5964550,-18d18m56.79s,-18.3157745,8.5033200
61 Vir c,61 Vir,1,3,,5585.57,1.03,0.91,13h18m23.15s,199.5964550,-18d18m56.79s,-18.3157745,8.5033200
61 Vir d,61 Vir,1,3,G5 V,5577.00,0.96,0.94,13h18m23.15s,199.5964550,-18d18m56.79s,-18.3157745,8.5033200
7 CMa b,7 CMa,1,2,,4794.52,4.91,,06h36m41.11s,99.1712760,-19d15m22.25s,-19.2561808,19.8101000
7 CMa b,7 CMa,1,2,,4826.00,4.87,1.34,06h36m41.11s,99.1712760,-19d15m22.25s,-19.2561808,19.8101000
7 CMa b,7 CMa,1,2,K1 III,4792.00,2.30,1.52,06h36m41.11s,99.1712760,-19d15m22.25s,-19.2561808,19.8101000
7 CMa c,7 CMa,1,2,,4826.00,4.87,1.34,06h36m41.11s,99.1712760,-19d15m22.25s,-19.2561808,19.8101000
70 Vir b,70 Vir,1,1,,5495.00,1.89,1.09,13h28m25.56s,202.1064898,+13d46m34.71s,13.7763085,17.9011000
70 Vir b,70 Vir,1,1,,5531.00,1.84,1.14,13h28m25.56s,202.1064898,+13d46m34.71s,13.7763085,17.9011000
70 Vir b,70 Vir,1,1,,5439.00,1.94,1.09,13h28m25.56s,202.1064898,+13d46m34.71s,13.7763085,17.9011000
70 Vir b,70 Vir,1,1,,,,,13h28m25.56s,202.1064898,+13d46m34.71s,13.7763085,17.9011000
70 Vir b,70 Vir,1,1,,5545.00,,1.11,13h28m25.56s,202.1064898,+13d46m34.71s,13.7763085,17.9011000
70 Vir b,70 Vir,1,1,,5481.86,1.92,1.06,13h28m25.56s,202.1064898,+13d46m34.71s,13.7763085,17.9011000
75 Cet b,75 Cet,2,1,G3 III,4846.00,10.50,2.49,02h32m09.40s,38.0391598,-01d02m06.10s,-1.0350269,82.9613000
8 UMi b,8 UMi,1,1,K0,4847.40,9.90,1.80,14h56m48.40s,224.2016850,+74d54m03.38s,74.9009379,162.5520000
8 UMi b,8 UMi,1,1,,4847.00,10.30,1.44,14h56m48.40s,224.2016850,+74d54m03.38s,74.9009379,162.5520000
81 Cet b,81 Cet,1,1,,,,1.60,02h37m41.85s,39.4243555,-03d23m46.90s,-3.3963607,101.2600000
81 Cet b,81 Cet,1,1,G5 III,4785.00,11.00,2.40,02h37m41.85s,39.4243555,-03d23m46.90s,-3.3963607,101.2600000
91 Aqr b,91 Aqr,3,1,K0 III,4665.00,11.00,1.40,23h15m53.88s,348.9745031,-09d05m16.11s,-9.0878076,44.0304000
AB Pic b,AB Pic,1,1,K2 V,,,,06h19m12.94s,94.8039208,-58d03m14.83s,-58.0541184,50.0475000
AU Mic b,AU Mic,1,2,,3700.00,0.75,0.50,20h45m09.87s,311.2911369,-31d20m32.82s,-31.3424500,9.7221000
AU Mic b,AU Mic,1,2,,3700.00,0.75,0.50,20h45m09.87s,311.2911369,-31d20m32.82s,-31.3424500,9.7221000
AU Mic c,AU Mic,1,2,,3700.00,0.75,0.50,20h45m09.87s,311.2911369,-31d20m32.82s,-31.3424500,9.7221000
BD+03 2562 b,BD+03 2562,1,1,,4095.00,32.35,1.14,11h50m15.53s,177.5647268,+02d45m36.39s,2.7601075,1070.6300000
BD+14 4559 b,BD+14 4559,1,1,K2 V,5008.00,0.95,0.86,21h13m36.24s,318.4010002,+14d41m21.78s,14.6893834,49.3520000
BD+14 4559 b,BD+14 4559,1,1,,4864.00,0.86,0.49,21h13m36.24s,318.4010002,+14d41m21.78s,14.6893834,49.3520000
BD+15 2375 b,BD+15 2375,1,1,,4649.00,8.95,1.08,11h45m55.69s,176.4820239,+14d36m58.75s,14.6163182,768.0450000
BD+15 2940 b,BD+15 2940,1,1,K0,4796.00,14.70,1.10,16h00m22.95s,240.0956400,+15d32m48.30s,15.5467507,426.4200000
BD+20 2457 b,BD+20 2457,1,2,K2 II,4137.00,49.00,2.80,10h16m44.83s,154.1867820,+19d53m28.55s,19.8912626,1539.7100000
BD+20 2457 b,BD+20 2457,1,2,,4259.00,71.02,10.83,10h16m44.83s,154.1867820,+19d53m28.55s,19.8912626,1539.7100000
BD+20 2457 c,BD+20 2457,1,2,K2 II,4137.00,49.00,2.80,10h16m44.83s,154.1867820,+19d53m28.55s,19.8912626,1539.7100000
BD+20 274 b,BD+20 274,1,1,K5 III,4296.00,17.30,0.80,01h43m40.88s,25.9203179,+21d00m18.97s,21.0052692,1322.5100000
BD+20 594 b,BD+20 594,1,1,G,5766.00,0.93,0.96,03h34m36.27s,53.6511231,+20d35m56.47s,20.5990205,179.4610000
BD+20 594 b,BD+20 594,1,1,,5703.00,0.96,0.96,03h34m36.27s,53.6511231,+20d35m56.47s,20.5990205,179.4610000
BD+20 594 b,BD+20 594,1,1,,5703.00,0.96,,03h34m36.27s,53.6511231,+20d35m56.47s,20.5990205,179.4610000
BD+20 594 b,BD+20 594,1,1,,5766.00,1.08,1.67,03h34m36.27s,53.6511231,+20d35m56.47s,20.5990205,179.4610000
BD+45 564 b,BD+45 564,1,1,K1,5004.00,,0.81,02h11m47.29s,32.9470485,+45d55m27.19s,45.9242187,53.6220000
BD+48 738 b,BD+48 738,1,1,K0 III,4414.00,11.00,0.74,02h42m50.47s,40.7102869,+49d35m12.98s,49.5869395,871.4930000
BD+48 740 b,BD+48 740,1,1,,4534.00,10.33,1.09,02h42m58.21s,40.7425426,+48d55m48.21s,48.9300579,666.5890000
BD+49 828 b,BD+49 828,1,1,K0,4943.00,7.60,1.52,03h02m33.75s,45.6406187,+49d43m47.81s,49.7299481,442.0420000
BD+55 362 b,BD+55 362,1,1,K3,5012.00,,0.91,01h35m51.28s,23.9636676,+56d41m53.62s,56.6982282,52.5697000
BD+63 1405 b,BD+63 1405,1,1,K0,5000.00,,0.82,18h05m35.50s,271.3979337,+63d40m12.02s,63.6700064,38.0473000
BD-00 4475 b,BD-00 4475,1,1,G0,5040.00,,0.81,23h10m50.60s,347.7108441,+00d24m30.82s,0.4085612,42.6402000
BD-06 1339 b,BD-06 1339,1,2,K7/M0 V,4324.00,,0.70,05h53m00.28s,88.2511811,-05d59m46.82s,-5.9963378,20.2695000
BD-06 1339 c,BD-06 1339,1,2,K7/M0 V,4324.00,,0.70,05h53m00.28s,88.2511811,-05d59m46.82s,-5.9963378,20.2695000
BD-08 2823 b,BD-08 2823,1,2,K3 V,4746.00,,0.74,10h00m47.33s,150.1971964,-09d30m59.65s,-9.5165689,41.3342000
BD-08 2823 b,BD-08 2823,1,2,,4816.00,0.71,0.50,10h00m47.33s,150.1971964,-09d30m59.65s,-9.5165689,41.3342000
BD-08 2823 c,BD-08 2823,1,2,K3 V,4746.00,,0.74,10h00m47.33s,150.1971964,-09d30m59.65s,-9.5165689,41.3342000
BD-10 3166 b,BD-10 3166,1,1,K0 V,5400.00,,1.10,10h58m28.59s,164.6191243,-10d46m13.52s,-10.7704227,84.4069000
BD-10 3166 b,BD-10 3166,1,1,,5393.00,0.91,1.47,10h58m28.59s,164.6191243,-10d46m13.52s,-10.7704227,84.4069000
BD-10 3166 b,BD-10 3166,1,1,,5393.00,,1.01,10h58m28.59s,164.6191243,-10d46m13.52s,-10.7704227,84.4069000
BD-10 3166 b,BD-10 3166,1,1,,5382.64,0.97,1.00,10h58m28.59s,164.6191243,-10d46m13.52s,-10.7704227,84.4069000
BD-11 4672 b,BD-11 4672,1,2,,4550.00,0.64,0.65,18h33m28.53s,278.3688659,-11d38m13.37s,-11.6370481,27.1665000
BD-11 4672 b,BD-11 4672,1,2,K7 V,4475.00,0.52,0.57,18h33m28.53s,278.3688659,-11d38m13.37s,-11.6370481,27.1665000
BD-11 4672 c,BD-11 4672,1,2,,4550.00,0.64,0.65,18h33m28.53s,278.3688659,-11d38m13.37s,-11.6370481,27.1665000
BD-13 2130 b,BD-13 2130,1,1,,4545.00,19.17,2.12,07h37m09.23s,114.2884692,-13d54m24.01s,-13.9066703,925.2140000
BD-13 2130 b,BD-13 2130,1,1,,,,2.40,07h37m09.23s,114.2884692,-13d54m24.01s,-13.9066703,925.2140000
BD-17 63 b,BD-17 63,1,1,K5 V,4714.00,0.69,0.74,00h28m33.92s,7.1413494,-16d13m38.37s,-16.2273254,34.4603000
BD-17 63 b,BD-17 63,1,1,,4665.00,0.74,0.31,00h28m33.92s,7.1413494,-16d13m38.37s,-16.2273254,34.4603000
CFBDSIR J145829+101343 b,CFBDSIR J145829+101343,1,1,,580.50,,0.02,14h58m29.00s,224.6208333,+10d13m43.0s,10.2286111,
CFHTWIR-Oph 98 b,CFHTWIR-Oph 98 A,1,1,M9-L1,2320.00,0.24,0.01,16h27m44.23s,246.9342770,-23d58m52.14s,-23.9811500,
CHXR 73 b,CHXR 73,1,1,M3.5,,,0.35,11h06m28.66s,166.6193985,-77d37m33.14s,-77.6258725,190.3740000
CI Tau b,CI Tau,1,1,K7,,,0.90,04h33m52.02s,68.4667685,+22d50m29.83s,22.8416192,157.9980000
COCONUTS-2 b,COCONUTS-2 A,1,1,M3 V,3406.00,0.39,0.37,07h49m12.22s,117.3009140,-76d42m09.71s,-76.7026960,10.8864000
CT Cha b,CT Cha,1,1,,,,,11h04m09.00s,166.0375038,-76d27m19.33s,-76.4553693,190.7200000
CoRoT-1 b,CoRoT-1,1,1,,5950.00,,,06h48m19.17s,102.0798591,-03d06m07.70s,-3.1021394,787.9090000
CoRoT-1 b,CoRoT-1,1,1,,5950.00,1.14,1.03,06h48m19.17s,102.0798591,-03d06m07.70s,-3.1021394,787.9090000
CoRoT-1 b,CoRoT-1,1,1,,5950.00,1.13,0.95,06h48m19.17s,102.0798591,-03d06m07.70s,-3.1021394,787.9090000
CoRoT-1 b,CoRoT-1,1,1,G0 V,5950.00,1.11,0.95,06h48m19.17s,102.0798591,-03d06m07.70s,-3.1021394,787.9090000
